5/28/2023, 5:50:00 AM - PROFANITY REPORT | ID: 1677723313042-677508, KEY: account.sig, DETAIL: {"isBadWord":true,"detectedWord":"fucker","profanityWordRelated":"fucker","badWordLanguage":"en"}
6/24/2023, 6:06:31 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:06:41 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"f u c k","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:08:43 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:08:53 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:09:00 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"f u c k","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:09:10 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hel","profanityWordRelated":"hell","badWordLanguage":"en"}
6/24/2023, 6:09:20 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:12:15 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:12:31 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:13:00 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"lol","profanityWordRelated":"lul","badWordLanguage":"nl"}
6/24/2023, 6:14:23 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"ass","profanityWordRelated":"ass","badWordLanguage":"en"}
6/24/2023, 6:14:25 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"ass","profanityWordRelated":"ass","badWordLanguage":"en"}
6/24/2023, 6:14:56 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:15:05 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:15:09 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:16:02 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hell","profanityWordRelated":"hell","badWordLanguage":"en"}
6/24/2023, 6:16:04 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"hello","profanityWordRelated":"hello","badWordLanguage":"en"}
6/24/2023, 6:19:01 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:19:01 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:19:01 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:19:02 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"fuck","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:19:02 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"f u c k","profanityWordRelated":"fuck","badWordLanguage":"en"}
6/24/2023, 6:22:14 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"dk","profanityWordRelated":"dick","badWordLanguage":"en"}
6/24/2023, 6:22:44 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"sk","profanityWordRelated":"suck","badWordLanguage":"en"}
6/24/2023, 6:22:53 PM - PROFANITY REPORT | ID: 1685552057729-636395, KEY: server.chat.global, DETAIL: {"isBadWord":true,"detectedWord":"suck","profanityWordRelated":"suck","badWordLanguage":"en"}
